Ticker,Description
ROBO,Automation & Robotics
SOXX,Semiconductors
XLK,Technology
XLY,Consumer Discretionary
VT,Global Stocks
ITA,Aerospace & Defense
XLI,Industrials
SPY,S&P 500
HYG,High Yield
XLV,Healthcare
TLT,US Long Bond
XLU,Utilities
XLB,Materials
IWM,Russell 2000
XLP,Consumer Staples
XRT,Retail
IYR,Real Estate
GLD,Gold
IYT,Transports
XLF,Financials
XLE,Energy
VOX,Telecom
XME,Metals & Mining
